"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT09","WT11","WT14"
"USC00454169","1920-01-01",,,"0.00","0.0",,"41","26",,,,,,,,,
"USC00454169","1920-01-02",,,"0.00","0.0",,"33","27","33",,,,,,,,
"USC00454169","1920-01-03",,,"0.00","0.0",,"33","26","32","    1",,,,,,,
"USC00454169","1920-01-04",,,"0.00","0.0",,"33","26","32","    1",,,,,,,
"USC00454169","1920-01-05",,,"0.23","0.0",,"37","31","36",,,,,,,,
"USC00454169","1920-01-06",,,"0.00","0.0",,"41","31","38",,,,,,,,
"USC00454169","1920-01-07",,,"0.00","0.0",,"44","32","35",,,,,,,,
"USC00454169","1920-01-08",,,"0.00","0.0",,"44","22","34",,,,,,,,
"USC00454169","1920-01-09",,,"0.00","0.0",,"35","27","35",,,,,,,,
"USC00454169","1920-01-10",,,"0.00","0.0",,"36","30","33",,,,,,,,
"USC00454169","1920-01-11",,,"0.00","0.0",,"41","30","41",,,,,,,,
"USC00454169","1920-01-12",,,"0.00","0.0",,"48","38","47",,,,,,,,
"USC00454169","1920-01-13",,,"0.00","0.0",,"51","29","45",,,,,,,,
"USC00454169","1920-01-14",,,"0.16","0.0",,"47","31","47",,,,,,,,
"USC00454169","1920-01-15",,,"0.00","0.0",,"51","45","47",,,,,,,,
"USC00454169","1920-01-16",,,"0.75","0.0",,"53","42","52",,,,,,,,
"USC00454169","1920-01-17",,,"0.64","0.0",,"54","47","50",,,,,,,,
"USC00454169","1920-01-18",,,"0.32","0.0",,"51","46","50",,,,,,,,
"USC00454169","1920-01-19",,,"0.06","0.0","0.0","50","37","37",,,,,,,,
"USC00454169","1920-01-20",,,"0.00","0.0",,"41","22","35",,,,,,,,
"USC00454169","1920-01-21",,,"0.00","0.0",,"35","27","33",,,,,,,,
"USC00454169","1920-01-22",,,"0.00","0.0",,"40","16",,,,,,,,,
"USC00454169","1920-01-23",,,"0.00","0.0",,"32","17","32",,,,,,,,
"USC00454169","1920-01-24",,,"0.74","0.0",,"42","26","42",,,,,,,,
"USC00454169","1920-01-25",,,"1.05","0.0",,"48","32","34",,,,,,,,
"USC00454169","1920-01-26",,,"0.10","0.0",,"38","31","36",,,,,,,,
"USC00454169","1920-01-27",,,"0.59","0.0",,"45","34","45",,,,,,,,
"USC00454169","1920-01-28",,,"0.67","0.0",,"65","43","55",,,,,,,,
"USC00454169","1920-01-29",,,"0.06","0.0",,"55","39","48",,,,,,,,
"USC00454169","1920-01-30",,,"0.87","0.0",,"52","44","48",,,,,,,,
"USC00454169","1920-01-31",,,"0.00","0.0",,"52","37","45",,,,,,,,
"USC00454169","1920-02-01",,,"0.00","0.0",,"45","37","43",,,,,,,,
"USC00454169","1920-02-02",,,"0.00","0.0",,"44","39","43",,,,,,,,
"USC00454169","1920-02-03",,,"0.00","0.0",,"54","35","47",,,,,,,,
"USC00454169","1920-02-04",,,"0.00","0.0",,"47","36","42",,,,,,,,
"USC00454169","1920-02-05",,,"0.00","0.0",,"57","35","51",,,,,,,,
"USC00454169","1920-02-06",,,"0.44","0.0",,"53","44","48",,,,,,,,
"USC00454169","1920-02-07",,,"0.16","0.0",,"50","38","45",,,,,,,,
"USC00454169","1920-02-08",,,"0.00","0.0",,"50","27","44",,,,,,,,
"USC00454169","1920-02-09",,,"0.00","0.0",,"48","26","41",,,,,,,,
"USC00454169","1920-02-10",,,"0.00","0.0",,"42","31","36",,,,,,,,
"USC00454169","1920-02-11",,,"0.00","0.0",,"42","27","36",,,,,,,,
"USC00454169","1920-02-12",,,"0.00","0.0",,"40","30","40",,,,,,,,
"USC00454169","1920-02-13",,,"0.00","0.0",,,,,,,,,,,,
"USC00454169","1920-02-14",,,"0.00","0.0",,,,,,,,,,,,
"USC00454169","1920-02-15",,,"0.00","0.0",,,,,,,,,,,,
"USC00454169","1920-02-16",,,"0.00","0.0",,,,,,,,,,,,
"USC00454169","1920-02-17",,,"0.00","0.0",,,,,,,,,,,,
"USC00454169","1920-02-18",,,"0.00","0.0",,,,,,,,,,,,
"USC00454169","1920-02-19",,,"0.00","0.0",,,,,,,,,,,,
"USC00454169","1920-02-20",,,"0.00","0.0",,"45","28","44",,,,,,,,
"USC00454169","1920-02-21",,,"0.00","0.0",,"55","25","51",,,,,,,,
"USC00454169","1920-02-22",,,"0.00","0.0",,"52","22","46",,,,,,,,
"USC00454169","1920-02-23",,,"0.00","0.0",,"53","22","46",,,,,,,,
"USC00454169","1920-02-24",,,"0.00","0.0",,"57","22","45",,,,,,,,
"USC00454169","1920-02-25",,,"0.00","0.0",,"54","24","45",,,,,,,,
"USC00454169","1920-02-26",,,"0.00","0.0",,"50","24","43",,,,,,,,
"USC00454169","1920-02-27",,,"0.00","0.0",,"52","29","41",,,,,,,,
"USC00454169","1920-02-28",,,"0.00","0.0",,"56","28","54",,,,,,,,
"USC00454169","1920-02-29",,,"0.00","0.0",,"58","21","52",,,,,,,,
"USC00454169","1920-03-01",,,"0.00","0.0",,"57","21","44",,,,,,,,
"USC00454169","1920-03-02",,,"0.00","0.0",,"49","24","43",,,,,,,,
"USC00454169","1920-03-03",,,"0.00","0.0",,"51","38","45",,,,,,,,
"USC00454169","1920-03-04",,,"0.26","0.0",,"48","40","47",,,,,,,,
"USC00454169","1920-03-05",,,"0.04","0.0",,"49","42","46",,,,,,,,
"USC00454169","1920-03-06",,,"0.00","0.0",,"59","32","48",,,,,,,,
"USC00454169","1920-03-07",,,"0.00","0.0",,"57","47","53",,,,,,,,
"USC00454169","1920-03-08",,,"0.07","0.0",,"55","41","49",,,,,,,,
"USC00454169","1920-03-09",,,"0.25","0.0",,"54","36","43",,,,,,,,
"USC00454169","1920-03-10",,,"0.10","0.0",,"50","36","43",,,,,,,,
"USC00454169","1920-03-11",,,"0.00","0.0",,"52","38","48",,,,,,,,
"USC00454169","1920-03-12",,,"0.47","0.0",,"53","39","47",,,,,,,,
"USC00454169","1920-03-13",,,"1.30","0.0",,"47","39","42",,,,,,,,
"USC00454169","1920-03-14",,,"0.00","0.0",,"51","37","42",,,,,,,,
"USC00454169","1920-03-15",,,"0.00","0.0",,"51","33","44",,,,,,,,
"USC00454169","1920-03-16",,,"0.00","0.0",,"56","28","47",,,,,,,,
"USC00454169","1920-03-17",,,"0.00","0.0",,"57","26","49",,,,,,,,
"USC00454169","1920-03-18",,,"0.00","0.0",,"56","31","49",,,,,,,,
"USC00454169","1920-03-19",,,"0.00","0.0",,"60","32","53",,,,,,,,
"USC00454169","1920-03-20",,,"0.00","0.0",,"65","37","57",,,,,,,,
"USC00454169","1920-03-21",,,"0.12","0.0",,"61","40","52",,,,,,,,
"USC00454169","1920-03-22",,,"0.00","0.0",,"60","30","49",,,,,,,,
"USC00454169","1920-03-23",,,"0.00","0.0",,"51","32","47",,,,,,,,
"USC00454169","1920-03-24",,,"0.07","0.0",,"51","40","42",,,,,,,,
"USC00454169","1920-03-25",,,"0.00","0.0",,"51","33","44",,,,,,,,
"USC00454169","1920-03-26",,,"0.00","0.0",,"44","30","42",,,,,,,,
"USC00454169","1920-03-27",,,"0.00","0.0",,"51","35","45",,,,,,,,
"USC00454169","1920-03-28",,,"0.06","0.0",,"53","41","46",,,,,,,,
"USC00454169","1920-03-29",,,"0.08","0.0",,"54","43","50",,,,,,,,
"USC00454169","1920-03-30",,,"0.06","0.0",,"50","39","43",,,,,,,,
"USC00454169","1920-03-31",,,"0.00","0.0",,"47","30","41",,,,,,,,
"USC00454169","1920-04-01",,,"0.27","0.0",,"47","30","41",,,,,,,,
"USC00454169","1920-04-02",,,"0.21","0.0",,"48","31","39",,,,,,,,
"USC00454169","1920-04-03",,,"0.11","0.0",,"42","32","38",,,,,,,,
"USC00454169","1920-04-04",,,"0.50","0.0",,"48","36","45",,,,,,,,
"USC00454169","1920-04-05",,,"0.53","0.0",,"52","31","49",,,,,,,,
"USC00454169","1920-04-06",,,"0.00","0.0",,"51","35","46",,,,,,,,
"USC00454169","1920-04-07",,,"0.39","0.0",,"53","34","45",,,,,,,,
"USC00454169","1920-04-08",,,"0.26","0.0",,"45","32","38",,,,,,,,
"USC00454169","1920-04-09",,,"0.00","0.0",,"49","33","42",,,,,,,,
"USC00454169","1920-04-10",,,"0.00","0.0",,"60","29","57",,,,,,,,
"USC00454169","1920-04-11",,,"0.00","0.0",,"62","30","61",,,,,,,,
"USC00454169","1920-04-12",,,"0.27","0.0",,"62","42","53",,,,,,,,
"USC00454169","1920-04-13",,,"0.03","0.0",,"55","40","49",,,,,,,,
"USC00454169","1920-04-14",,,"0.02","0.0",,"59","32","46",,,,,,,,
"USC00454169","1920-04-15",,,"0.02","0.0",,"55","38","50",,,,,,,,
"USC00454169","1920-04-16",,,"0.06","0.0",,"55","39","44",,,,,,,,
"USC00454169","1920-04-17",,,"0.14","0.0",,"56","38","54",,,,,,,,
"USC00454169","1920-04-18",,,"0.00","0.0",,"62","44","51",,,,,,,,
"USC00454169","1920-04-19",,,"0.37","0.0",,"53","34","42",,,,,,,,
"USC00454169","1920-04-20",,,"0.22","0.0",,"54","34","42",,,,,,,,
"USC00454169","1920-04-21",,,"0.00","0.0",,"54","38","47",,,,,,,,
"USC00454169","1920-04-22",,,"0.03","0.0",,"53","39","52",,,,,,,,
"USC00454169","1920-04-23",,,"0.00","0.0",,"60","45","56",,,,,,,,
"USC00454169","1920-04-24",,,"0.00","0.0",,"63","30","60",,,,,,,,
"USC00454169","1920-04-25",,,"0.00","0.0",,"66","32","62",,,,,,,,
"USC00454169","1920-04-26",,,"0.00","0.0",,"74","32","69",,,,,,,,
"USC00454169","1920-04-27",,,"0.00","0.0",,"69","42","59",,,,,,,,
"USC00454169","1920-04-28",,,"0.03","0.0",,"64","34","59",,,,,,,,
"USC00454169","1920-04-29",,,"0.00","0.0",,"60","33","58",,,,,,,,
"USC00454169","1920-04-30",,,"0.02","0.0",,"58","39","52",,,,,,,,
"USC00454169","1920-05-01",,,"0.00",,,"55","36","49",,,,,,,,
"USC00454169","1920-05-02",,,"0.00",,,"54","39","50",,,,,,,,
"USC00454169","1920-05-03",,,"0.00",,,"62","31",,,,,,,,,
"USC00454169","1920-05-04",,,"0.00",,,"59","31","57",,,,,,,,
"USC00454169","1920-05-05",,,"0.00",,,"67","39","65",,,,,,,,
"USC00454169","1920-05-06",,,"0.00",,,"77","35","75",,,,,,,,
